recorded_at,model_name,provider_code,session_id,request_id,prompt_tokens,completion_tokens,cached_tokens,cost_usd,project,tags
2026-08-26 03:51:00,gpt-5.6-sol,openai,writing,req-openai-915311,222865,49030,2228,1.906769,,dev
2026-08-19 04:10:00,deepseek-v4-pro,deepseek,chat,req-deepseek-696573,231782,111255,71852,2.319503,,dev
2026-08-31 13:30:00,claude-sonnet-5,anthropic,research,req-anthropic-125516,104410,54293,31323,,docs,research
2026-08-24 02:06:00,gpt-5.5,openai,coding,req-openai-486660,162069,71310,6482,0.118386,tut-tracker,arch
2026-09-04 07:33:00,deepseek-v4-pro,deepseek,data-analysis,req-deepseek-756667,251111,165733,90399,4.709834,tut-tracker,dev
2026-08-20 08:10:00,deepseek-v4-pro,deepseek,research,req-deepseek-580639,73459,65378,22037,3.701591,website,daily
2026-08-22 05:33:00,gpt-5.6-luna,openai,writing,req-openai-641099,2409,1614,72,6.622934,website,daily
2026-08-23 07:31:00,deepseek-v4-flash,deepseek,research,req-deepseek-701877,148172,114092,37043,7.055994,docs,
2026-08-19 00:38:00,deepseek-v4-pro,deepseek,coding,req-deepseek-378114,130983,66801,27506,4.839846,tut-tracker,daily
2026-09-02 17:51:00,gpt-5.5,openai,writing,req-openai-624284,174326,78446,33121,4.348403,docs,research
2026-09-03 10:29:00,claude-sonnet-5,anthropic,coding,req-anthropic-990075,77709,19427,23312,7.282867,docs,arch
2026-09-03 15:40:00,gpt-5.5,openai,data-analysis,req-openai-513881,244067,146440,0,4.586113,docs,research
2026-08-25 10:39:00,deepseek-v4-pro,deepseek,chat,req-deepseek-795335,70497,46528,28198,,tut-tracker,arch
2026-08-28 15:32:00,deepseek-v4-flash,deepseek,chat,req-deepseek-220492,87248,36644,0,6.223374,tut-tracker,dev
2026-08-27 07:34:00,deepseek-v4-pro,deepseek,research,req-deepseek-527895,279899,204326,72773,,website,
2026-08-24 14:06:00,gpt-5.6-luna,openai,writing,req-openai-442854,77191,42455,10034,6.441124,tut-tracker,dev
2026-08-22 14:05:00,claude-sonnet-5,anthropic,research,req-anthropic-480681,129595,28510,15551,3.457057,,research
2026-08-19 08:33:00,claude-opus-5,anthropic,chat,req-anthropic-974248,257936,201190,54166,,docs,
2026-08-25 02:13:00,gpt-5.6-luna,openai,data-analysis,req-openai-712583,151649,57626,56110,,,arch
2026-08-21 01:48:00,gpt-5.5,openai,data-analysis,req-openai-626262,232148,192682,92859,2.587436,,
2026-09-02 20:35:00,deepseek-v4-pro,deepseek,coding,req-deepseek-318290,65310,30695,20246,,docs,
2026-08-24 19:04:00,claude-sonnet-5,anthropic,writing,req-anthropic-874868,145643,96124,0,,,
2026-09-02 10:56:00,gpt-5.6-luna,openai,writing,req-openai-605733,31067,14290,2485,,docs,dev
2026-08-23 06:45:00,deepseek-v4-flash,deepseek,data-analysis,req-deepseek-438374,122665,83412,30666,,website,research
2026-09-07 21:26:00,claude-opus-5,anthropic,research,req-anthropic-918216,38273,16457,3827,0.958436,tut-tracker,
2026-08-20 15:55:00,gpt-5.6-luna,openai,writing,req-openai-540659,149062,95399,37265,6.445267,,daily
2026-08-27 11:19:00,gpt-5.5,openai,chat,req-openai-347207,248222,76948,59573,7.102765,website,arch
2026-08-31 05:17:00,claude-sonnet-5,anthropic,writing,req-anthropic-557040,134352,59114,40305,1.869812,docs,arch
2026-09-02 06:44:00,deepseek-v4-flash,deepseek,writing,req-deepseek-997168,2100,798,777,1.376248,tut-tracker,arch
2026-08-23 07:19:00,deepseek-v4-pro,deepseek,chat,req-deepseek-754205,184780,60977,22173,5.770033,,arch
2026-09-01 11:21:00,gpt-5.5,openai,coding,req-openai-465179,9748,2534,2729,,,dev
2026-08-28 15:13:00,deepseek-v4-pro,deepseek,writing,req-deepseek-642990,68636,32258,24022,,,arch
2026-09-02 02:54:00,deepseek-v4-pro,deepseek,coding,req-deepseek-489817,198807,139164,3976,2.812771,website,
2026-08-25 04:48:00,claude-opus-5,anthropic,chat,req-anthropic-902533,132684,100839,23883,7.301734,,arch
2026-08-25 07:33:00,gpt-5.6-sol,openai,writing,req-openai-627371,65334,19600,18293,2.700615,tut-tracker,dev
2026-08-29 12:21:00,claude-opus-5,anthropic,research,req-anthropic-541995,35002,8050,9800,6.243146,website,dev
2026-08-29 21:41:00,gpt-5.6-luna,openai,writing,req-openai-103998,73664,24309,13996,3.787875,tut-tracker,research
2026-08-31 13:05:00,gpt-5.6-sol,openai,research,req-openai-542001,76489,27536,29830,1.704558,tut-tracker,arch
2026-09-07 13:27:00,claude-sonnet-5,anthropic,writing,req-anthropic-130316,16833,4881,4208,,docs,research
2026-09-05 03:49:00,claude-sonnet-5,anthropic,writing,req-anthropic-733616,23292,18400,4192,,docs,dev
2026-08-25 17:57:00,gpt-5.6-luna,openai,chat,req-openai-392395,66876,55507,15381,3.363736,website,arch
2026-08-30 14:22:00,deepseek-v4-flash,deepseek,writing,req-deepseek-299331,47365,33629,15156,,,dev
2026-09-01 14:27:00,gpt-5.6-luna,openai,data-analysis,req-openai-559060,7014,3436,2595,,tut-tracker,dev
2026-08-22 13:31:00,gpt-5.5,openai,coding,req-openai-969726,103410,92034,7238,,docs,dev
2026-08-19 19:42:00,deepseek-v4-flash,deepseek,chat,req-deepseek-628488,106389,68088,8511,7.450038,tut-tracker,dev
2026-08-19 13:55:00,gpt-5.5,openai,chat,req-openai-928636,160612,93154,16061,,website,arch
2026-08-27 04:12:00,claude-sonnet-5,anthropic,chat,req-anthropic-771323,82822,50521,31472,0.679702,website,dev
2026-09-05 19:14:00,deepseek-v4-pro,deepseek,chat,req-deepseek-570418,281825,126821,36637,4.874299,tut-tracker,research
2026-09-07 09:12:00,deepseek-v4-flash,deepseek,data-analysis,req-deepseek-204695,24231,11146,7996,,website,arch
2026-08-25 10:44:00,gpt-5.5,openai,data-analysis,req-openai-197239,266086,127721,37252,,docs,daily
2026-08-26 02:59:00,deepseek-v4-pro,deepseek,writing,req-deepseek-521699,279731,170635,5594,,docs,
2026-08-24 19:16:00,deepseek-v4-pro,deepseek,coding,req-deepseek-868038,165652,109330,33130,3.290089,,dev
2026-09-07 00:02:00,claude-opus-5,anthropic,chat,req-anthropic-654261,61854,48864,8041,,,
2026-09-06 16:51:00,deepseek-v4-flash,deepseek,research,req-deepseek-429943,140973,108549,23965,0.296160,website,
2026-09-02 23:29:00,gpt-5.6-luna,openai,coding,req-openai-522013,65456,47128,6545,,website,daily
2026-08-19 02:04:00,claude-sonnet-5,anthropic,writing,req-anthropic-975162,166121,101333,49836,,,dev
2026-08-26 12:28:00,gpt-5.6-luna,openai,chat,req-openai-352058,43726,19676,2623,6.467420,,arch
2026-08-22 08:32:00,claude-sonnet-5,anthropic,research,req-anthropic-774030,36514,15335,13145,,docs,arch
2026-08-24 10:01:00,gpt-5.5,openai,research,req-openai-932853,67338,18181,20874,1.468900,tut-tracker,daily
2026-09-03 05:29:00,deepseek-v4-pro,deepseek,research,req-deepseek-659874,265644,177981,58441,7.734049,docs,
2026-09-05 03:07:00,deepseek-v4-pro,deepseek,research,req-deepseek-857864,104495,72101,30303,5.899951,docs,arch
2026-08-30 10:34:00,gpt-5.5,openai,research,req-openai-576971,96404,42417,28921,,website,research
2026-08-25 15:32:00,claude-opus-5,anthropic,coding,req-anthropic-319372,163228,60394,26116,7.066666,docs,research
2026-08-19 23:16:00,claude-sonnet-5,anthropic,coding,req-anthropic-311721,165423,135646,34738,0.656949,,daily
2026-08-28 20:56:00,deepseek-v4-pro,deepseek,research,req-deepseek-911989,169802,95089,39054,,website,arch
2026-08-28 12:07:00,gpt-5.6-luna,openai,research,req-openai-960977,118343,79289,15384,4.551246,website,arch
2026-08-20 09:37:00,deepseek-v4-flash,deepseek,data-analysis,req-deepseek-997097,101758,80388,12210,6.777774,docs,
2026-08-26 06:08:00,gpt-5.6-sol,openai,research,req-openai-897104,188739,158540,30198,,tut-tracker,research
2026-09-05 07:29:00,claude-opus-5,anthropic,writing,req-anthropic-214619,246508,177485,36976,,website,arch
2026-08-22 20:11:00,gpt-5.5,openai,writing,req-openai-423437,185966,53930,55789,6.608711,website,arch
2026-08-31 03:39:00,gpt-5.5,openai,writing,req-openai-226282,163243,142021,62032,7.433178,docs,
2026-08-24 06:11:00,gpt-5.5,openai,writing,req-openai-882973,136335,58624,4090,,tut-tracker,
2026-08-20 21:01:00,claude-sonnet-5,anthropic,research,req-anthropic-891116,21229,9765,3608,,website,arch
2026-09-04 16:11:00,deepseek-v4-flash,deepseek,coding,req-deepseek-307531,118853,91516,1188,,website,
2026-08-23 15:47:00,gpt-5.5,openai,coding,req-openai-574375,49699,40256,18388,0.279404,,
2026-08-19 21:45:00,claude-sonnet-5,anthropic,writing,req-anthropic-170469,124421,107002,48524,,website,
2026-08-21 03:34:00,claude-sonnet-5,anthropic,data-analysis,req-anthropic-221213,53924,45296,2696,,,daily
2026-09-06 11:46:00,claude-sonnet-5,anthropic,writing,req-anthropic-514724,104885,28318,14683,2.969573,,research
2026-08-21 13:09:00,deepseek-v4-flash,deepseek,research,req-deepseek-159477,94639,21766,7571,,docs,daily
2026-08-20 07:59:00,claude-opus-5,anthropic,data-analysis,req-anthropic-281991,182730,36546,7309,,docs,
2026-08-22 07:47:00,gpt-5.5,openai,data-analysis,req-openai-614921,250273,110120,15016,0.427882,,research
2026-08-19 15:26:00,claude-opus-5,anthropic,coding,req-anthropic-523338,214273,57853,8570,,website,arch
